File,Hour,NBL
NB_MAY_4.csv,0,2
NB_MAY_4.csv,1,1
NB_MAY_4.csv,2,2
NB_MAY_4.csv,3,4
NB_MAY_4.csv,4,0
NB_MAY_4.csv,5,2
NB_MAY_4.csv,6,7
NB_MAY_4.csv,7,52
NB_MAY_4.csv,8,78
NB_MAY_4.csv,9,26
NB_MAY_4.csv,10,16
NB_MAY_4.csv,11,28
NB_MAY_4.csv,12,36
NB_MAY_4.csv,13,23
NB_MAY_4.csv,14,35
NB_MAY_4.csv,15,35
NB_MAY_4.csv,16,32
NB_MAY_4.csv,17,27
NB_MAY_4.csv,18,12
NB_MAY_4.csv,19,5
NB_MAY_4.csv,20,9
NB_MAY_4.csv,21,4
NB_MAY_4.csv,22,4
NB_MAY_5.csv,0,2
NB_MAY_5.csv,1,0
NB_MAY_5.csv,2,2
NB_MAY_5.csv,3,1
NB_MAY_5.csv,4,0
NB_MAY_5.csv,5,1
NB_MAY_5.csv,6,6
NB_MAY_5.csv,7,56
NB_MAY_5.csv,8,82
NB_MAY_5.csv,9,30
NB_MAY_5.csv,10,17
NB_MAY_5.csv,11,24
NB_MAY_5.csv,12,36
NB_MAY_5.csv,13,14
NB_MAY_5.csv,14,34
NB_MAY_5.csv,15,23
NB_MAY_5.csv,16,27
NB_MAY_5.csv,17,25
NB_MAY_5.csv,18,13
NB_MAY_5.csv,19,7
NB_MAY_5.csv,20,14
NB_MAY_5.csv,21,13
NB_MAY_5.csv,22,5
NB_MAY_6.csv,0,2
NB_MAY_6.csv,1,0
NB_MAY_6.csv,2,2
NB_MAY_6.csv,3,2
NB_MAY_6.csv,4,0
NB_MAY_6.csv,5,1
NB_MAY_6.csv,6,10
NB_MAY_6.csv,7,66
NB_MAY_6.csv,8,81
NB_MAY_6.csv,9,28
NB_MAY_6.csv,10,20
NB_MAY_6.csv,11,23
NB_MAY_6.csv,12,23
NB_MAY_6.csv,13,25
NB_MAY_6.csv,14,30
NB_MAY_6.csv,15,24
NB_MAY_6.csv,16,15
NB_MAY_6.csv,17,15
NB_MAY_6.csv,18,13
NB_MAY_6.csv,19,10
NB_MAY_6.csv,20,11
NB_MAY_6.csv,21,4
NB_MAY_6.csv,22,6
NB_MAY_7.csv,0,0
NB_MAY_7.csv,1,1
NB_MAY_7.csv,2,1
NB_MAY_7.csv,3,2
NB_MAY_7.csv,4,0
NB_MAY_7.csv,5,2
NB_MAY_7.csv,6,4
NB_MAY_7.csv,7,44
NB_MAY_7.csv,8,79
NB_MAY_7.csv,9,19
NB_MAY_7.csv,10,19
NB_MAY_7.csv,11,23
NB_MAY_7.csv,12,38
NB_MAY_7.csv,13,14
NB_MAY_7.csv,14,29
NB_MAY_7.csv,15,37
NB_MAY_7.csv,16,25
NB_MAY_7.csv,17,20
NB_MAY_7.csv,18,11
NB_MAY_7.csv,19,9
NB_MAY_7.csv,20,10
NB_MAY_7.csv,21,5
NB_MAY_7.csv,22,4
NB_MAY_8.csv,0,1
NB_MAY_8.csv,1,0
NB_MAY_8.csv,2,0
NB_MAY_8.csv,3,2
NB_MAY_8.csv,4,0
NB_MAY_8.csv,5,1
NB_MAY_8.csv,6,9
NB_MAY_8.csv,7,31
NB_MAY_8.csv,8,36
NB_MAY_8.csv,9,21
NB_MAY_8.csv,10,12
NB_MAY_8.csv,11,22
NB_MAY_8.csv,12,24
NB_MAY_8.csv,13,19
NB_MAY_8.csv,14,24
NB_MAY_8.csv,15,19
NB_MAY_8.csv,16,25
NB_MAY_8.csv,17,20
NB_MAY_8.csv,18,12
NB_MAY_8.csv,19,10
NB_MAY_8.csv,20,10
NB_MAY_8.csv,21,10
NB_MAY_8.csv,22,3
NB_MAY_11.csv,0,0
NB_MAY_11.csv,1,1
NB_MAY_11.csv,2,1
NB_MAY_11.csv,3,3
NB_MAY_11.csv,4,0
NB_MAY_11.csv,5,3
NB_MAY_11.csv,6,10
NB_MAY_11.csv,7,51
NB_MAY_11.csv,8,61
NB_MAY_11.csv,9,25
NB_MAY_11.csv,10,30
NB_MAY_11.csv,11,22
NB_MAY_11.csv,12,28
NB_MAY_11.csv,13,17
NB_MAY_11.csv,14,16
NB_MAY_11.csv,15,19
NB_MAY_11.csv,16,26
NB_MAY_11.csv,17,19
NB_MAY_11.csv,18,10
NB_MAY_11.csv,19,16
NB_MAY_11.csv,20,16
NB_MAY_11.csv,21,6
NB_MAY_11.csv,22,4
NB_MAY_12.csv,0,2
NB_MAY_12.csv,1,1
NB_MAY_12.csv,2,1
NB_MAY_12.csv,3,0
NB_MAY_12.csv,4,0
NB_MAY_12.csv,5,3
NB_MAY_12.csv,6,8
NB_MAY_12.csv,7,43
NB_MAY_12.csv,8,50
NB_MAY_12.csv,9,23
NB_MAY_12.csv,10,21
NB_MAY_12.csv,11,18
NB_MAY_12.csv,12,39
NB_MAY_12.csv,13,31
NB_MAY_12.csv,14,44
NB_MAY_12.csv,15,58
NB_MAY_12.csv,16,31
NB_MAY_12.csv,17,17
NB_MAY_12.csv,18,12
NB_MAY_12.csv,19,3
NB_MAY_12.csv,20,11
NB_MAY_12.csv,21,6
NB_MAY_12.csv,22,5
NB_MAY_13.csv,0,3
NB_MAY_13.csv,1,2
NB_MAY_13.csv,2,1
NB_MAY_13.csv,3,2
NB_MAY_13.csv,4,0
NB_MAY_13.csv,5,0
NB_MAY_13.csv,6,8
NB_MAY_13.csv,7,39
NB_MAY_13.csv,8,68
NB_MAY_13.csv,9,35
NB_MAY_13.csv,10,17
NB_MAY_13.csv,11,21
NB_MAY_13.csv,12,37
NB_MAY_13.csv,13,17
NB_MAY_13.csv,14,23
NB_MAY_13.csv,15,22
NB_MAY_13.csv,16,17
NB_MAY_13.csv,17,15
NB_MAY_13.csv,18,10
NB_MAY_13.csv,19,18
NB_MAY_13.csv,20,7
NB_MAY_13.csv,21,9
NB_MAY_13.csv,22,7
NB_MAY_14.csv,0,2
NB_MAY_14.csv,1,0
NB_MAY_14.csv,2,2
NB_MAY_14.csv,3,1
NB_MAY_14.csv,4,0
NB_MAY_14.csv,5,2
NB_MAY_14.csv,6,5
NB_MAY_14.csv,7,52
NB_MAY_14.csv,8,80
NB_MAY_14.csv,9,15
NB_MAY_14.csv,10,9
NB_MAY_14.csv,11,18
NB_MAY_14.csv,12,38
NB_MAY_14.csv,13,35
NB_MAY_14.csv,14,21
NB_MAY_14.csv,15,22
NB_MAY_14.csv,16,24
NB_MAY_14.csv,17,16
NB_MAY_14.csv,18,14
NB_MAY_14.csv,19,13
NB_MAY_14.csv,20,11
NB_MAY_14.csv,21,10
NB_MAY_14.csv,22,6
NB_MAY_15.csv,0,0
NB_MAY_15.csv,1,1
NB_MAY_15.csv,2,1
NB_MAY_15.csv,3,3
NB_MAY_15.csv,4,0
NB_MAY_15.csv,5,3
NB_MAY_15.csv,6,9
NB_MAY_15.csv,7,30
NB_MAY_15.csv,8,34
NB_MAY_15.csv,9,10
NB_MAY_15.csv,10,17
NB_MAY_15.csv,11,18
NB_MAY_15.csv,12,20
NB_MAY_15.csv,13,14
NB_MAY_15.csv,14,17
NB_MAY_15.csv,15,11
NB_MAY_15.csv,16,18
NB_MAY_15.csv,17,16
NB_MAY_15.csv,18,12
NB_MAY_15.csv,19,11
NB_MAY_15.csv,20,9
NB_MAY_15.csv,21,6
NB_MAY_15.csv,22,4
TOTAL,,3839
