File,Hour,NBL
NB_June_1.csv,0,1
NB_June_1.csv,1,2
NB_June_1.csv,2,0
NB_June_1.csv,3,3
NB_June_1.csv,4,1
NB_June_1.csv,5,2
NB_June_1.csv,6,4
NB_June_1.csv,7,22
NB_June_1.csv,8,44
NB_June_1.csv,9,10
NB_June_1.csv,10,14
NB_June_1.csv,11,16
NB_June_1.csv,12,19
NB_June_1.csv,13,17
NB_June_1.csv,14,16
NB_June_1.csv,15,17
NB_June_1.csv,16,16
NB_June_1.csv,17,15
NB_June_1.csv,18,7
NB_June_1.csv,19,11
NB_June_1.csv,20,10
NB_June_1.csv,21,8
NB_June_1.csv,22,4
NB_June_2.csv,0,2
NB_June_2.csv,1,0
NB_June_2.csv,2,1
NB_June_2.csv,3,3
NB_June_2.csv,4,0
NB_June_2.csv,5,4
NB_June_2.csv,6,8
NB_June_2.csv,7,40
NB_June_2.csv,8,67
NB_June_2.csv,9,17
NB_June_2.csv,10,16
NB_June_2.csv,11,20
NB_June_2.csv,12,15
NB_June_2.csv,13,9
NB_June_2.csv,14,23
NB_June_2.csv,15,17
NB_June_2.csv,16,19
NB_June_2.csv,17,26
NB_June_2.csv,18,12
NB_June_2.csv,19,8
NB_June_2.csv,20,10
NB_June_2.csv,21,7
NB_June_2.csv,22,5
NB_June_3.csv,0,3
NB_June_3.csv,1,0
NB_June_3.csv,2,1
NB_June_3.csv,3,1
NB_June_3.csv,4,1
NB_June_3.csv,5,2
NB_June_3.csv,6,6
NB_June_3.csv,7,36
NB_June_3.csv,8,62
NB_June_3.csv,9,25
NB_June_3.csv,10,18
NB_June_3.csv,11,23
NB_June_3.csv,12,18
NB_June_3.csv,13,16
NB_June_3.csv,14,23
NB_June_3.csv,15,19
NB_June_3.csv,16,12
NB_June_3.csv,17,25
NB_June_3.csv,18,16
NB_June_3.csv,19,8
NB_June_3.csv,20,17
NB_June_3.csv,21,12
NB_June_3.csv,22,2
NB_June_4.csv,0,1
NB_June_4.csv,1,2
NB_June_4.csv,2,1
NB_June_4.csv,3,0
NB_June_4.csv,4,0
NB_June_4.csv,5,1
NB_June_4.csv,6,6
NB_June_4.csv,7,27
NB_June_4.csv,8,55
NB_June_4.csv,9,20
NB_June_4.csv,10,14
NB_June_4.csv,11,12
NB_June_4.csv,12,35
NB_June_4.csv,13,14
NB_June_4.csv,14,20
NB_June_4.csv,15,22
NB_June_4.csv,16,8
NB_June_4.csv,17,18
NB_June_4.csv,18,17
NB_June_4.csv,19,10
NB_June_4.csv,20,10
NB_June_4.csv,21,7
NB_June_4.csv,22,14
NB_June_5.csv,0,0
NB_June_5.csv,1,0
NB_June_5.csv,2,0
NB_June_5.csv,3,3
NB_June_5.csv,4,1
NB_June_5.csv,5,2
NB_June_5.csv,6,4
NB_June_5.csv,7,22
NB_June_5.csv,8,33
NB_June_5.csv,9,14
NB_June_5.csv,10,23
NB_June_5.csv,11,7
NB_June_5.csv,12,19
NB_June_5.csv,13,18
NB_June_5.csv,14,16
NB_June_5.csv,15,13
NB_June_5.csv,16,17
NB_June_5.csv,17,16
NB_June_5.csv,18,9
NB_June_5.csv,19,11
NB_June_5.csv,20,20
NB_June_5.csv,21,13
NB_June_5.csv,22,7
NB_June_8.csv,0,2
NB_June_8.csv,1,1
NB_June_8.csv,2,2
NB_June_8.csv,3,2
NB_June_8.csv,4,0
NB_June_8.csv,5,3
NB_June_8.csv,6,7
NB_June_8.csv,7,32
NB_June_8.csv,8,34
NB_June_8.csv,9,11
NB_June_8.csv,10,7
NB_June_8.csv,11,14
NB_June_8.csv,12,21
NB_June_8.csv,13,17
NB_June_8.csv,14,12
NB_June_8.csv,15,13
NB_June_8.csv,16,20
NB_June_8.csv,17,12
NB_June_8.csv,18,13
NB_June_8.csv,19,12
NB_June_8.csv,20,9
NB_June_8.csv,21,11
NB_June_8.csv,22,5
NB_June_9.csv,0,2
NB_June_9.csv,1,0
NB_June_9.csv,2,1
NB_June_9.csv,3,0
NB_June_9.csv,4,1
NB_June_9.csv,5,3
NB_June_9.csv,6,5
NB_June_9.csv,7,30
NB_June_9.csv,8,43
NB_June_9.csv,9,21
NB_June_9.csv,10,9
NB_June_9.csv,11,16
NB_June_9.csv,12,17
NB_June_9.csv,13,8
NB_June_9.csv,14,17
NB_June_9.csv,15,12
NB_June_9.csv,16,20
NB_June_9.csv,17,14
NB_June_9.csv,18,7
NB_June_9.csv,19,7
NB_June_9.csv,20,11
NB_June_9.csv,21,8
NB_June_9.csv,22,5
NB_June_10.csv,0,1
NB_June_10.csv,1,1
NB_June_10.csv,2,2
NB_June_10.csv,3,1
NB_June_10.csv,4,2
NB_June_10.csv,5,3
NB_June_10.csv,6,6
NB_June_10.csv,7,29
NB_June_10.csv,8,35
NB_June_10.csv,9,17
NB_June_10.csv,10,15
NB_June_10.csv,11,21
NB_June_10.csv,12,17
NB_June_10.csv,13,18
NB_June_10.csv,14,19
NB_June_10.csv,15,15
NB_June_10.csv,16,18
NB_June_10.csv,17,21
NB_June_10.csv,18,11
NB_June_10.csv,19,11
NB_June_10.csv,20,10
NB_June_10.csv,21,8
NB_June_10.csv,22,4
NB_June_11.csv,0,3
NB_June_11.csv,1,0
NB_June_11.csv,2,1
NB_June_11.csv,3,0
NB_June_11.csv,4,2
NB_June_11.csv,5,2
NB_June_11.csv,6,12
NB_June_11.csv,7,20
NB_June_11.csv,8,44
NB_June_11.csv,9,16
NB_June_11.csv,10,17
NB_June_11.csv,11,13
NB_June_11.csv,12,15
NB_June_11.csv,13,14
NB_June_11.csv,14,14
NB_June_11.csv,15,16
NB_June_11.csv,16,8
NB_June_11.csv,17,14
NB_June_11.csv,18,13
NB_June_11.csv,19,5
NB_June_11.csv,20,8
NB_June_11.csv,21,9
NB_June_11.csv,22,5
NB_June_12.csv,0,0
NB_June_12.csv,1,1
NB_June_12.csv,2,1
NB_June_12.csv,3,1
NB_June_12.csv,4,0
NB_June_12.csv,5,2
NB_June_12.csv,6,1
NB_June_12.csv,7,17
NB_June_12.csv,8,25
NB_June_12.csv,9,13
NB_June_12.csv,10,13
NB_June_12.csv,11,17
NB_June_12.csv,12,19
NB_June_12.csv,13,15
NB_June_12.csv,14,18
NB_June_12.csv,15,24
NB_June_12.csv,16,19
NB_June_12.csv,17,11
NB_June_12.csv,18,8
NB_June_12.csv,19,12
NB_June_12.csv,20,23
NB_June_12.csv,21,14
NB_June_12.csv,22,8
TOTAL,,2831
