File,Hour,NBT
NB_MAY_4.csv,0,21
NB_MAY_4.csv,1,9
NB_MAY_4.csv,2,12
NB_MAY_4.csv,3,40
NB_MAY_4.csv,4,45
NB_MAY_4.csv,5,96
NB_MAY_4.csv,6,257
NB_MAY_4.csv,7,720
NB_MAY_4.csv,8,457
NB_MAY_4.csv,9,373
NB_MAY_4.csv,10,384
NB_MAY_4.csv,11,418
NB_MAY_4.csv,12,435
NB_MAY_4.csv,13,413
NB_MAY_4.csv,14,414
NB_MAY_4.csv,15,420
NB_MAY_4.csv,16,468
NB_MAY_4.csv,17,470
NB_MAY_4.csv,18,400
NB_MAY_4.csv,19,252
NB_MAY_4.csv,20,205
NB_MAY_4.csv,21,107
NB_MAY_4.csv,22,76
NB_MAY_5.csv,0,19
NB_MAY_5.csv,1,12
NB_MAY_5.csv,2,10
NB_MAY_5.csv,3,44
NB_MAY_5.csv,4,42
NB_MAY_5.csv,5,96
NB_MAY_5.csv,6,292
NB_MAY_5.csv,7,723
NB_MAY_5.csv,8,606
NB_MAY_5.csv,9,415
NB_MAY_5.csv,10,388
NB_MAY_5.csv,11,431
NB_MAY_5.csv,12,407
NB_MAY_5.csv,13,372
NB_MAY_5.csv,14,417
NB_MAY_5.csv,15,411
NB_MAY_5.csv,16,499
NB_MAY_5.csv,17,507
NB_MAY_5.csv,18,392
NB_MAY_5.csv,19,316
NB_MAY_5.csv,20,215
NB_MAY_5.csv,21,137
NB_MAY_5.csv,22,85
NB_MAY_6.csv,0,22
NB_MAY_6.csv,1,25
NB_MAY_6.csv,2,10
NB_MAY_6.csv,3,45
NB_MAY_6.csv,4,49
NB_MAY_6.csv,5,104
NB_MAY_6.csv,6,298
NB_MAY_6.csv,7,919
NB_MAY_6.csv,8,588
NB_MAY_6.csv,9,409
NB_MAY_6.csv,10,383
NB_MAY_6.csv,11,457
NB_MAY_6.csv,12,422
NB_MAY_6.csv,13,418
NB_MAY_6.csv,14,409
NB_MAY_6.csv,15,402
NB_MAY_6.csv,16,517
NB_MAY_6.csv,17,485
NB_MAY_6.csv,18,404
NB_MAY_6.csv,19,265
NB_MAY_6.csv,20,231
NB_MAY_6.csv,21,145
NB_MAY_6.csv,22,70
NB_MAY_7.csv,0,22
NB_MAY_7.csv,1,17
NB_MAY_7.csv,2,10
NB_MAY_7.csv,3,40
NB_MAY_7.csv,4,50
NB_MAY_7.csv,5,90
NB_MAY_7.csv,6,296
NB_MAY_7.csv,7,688
NB_MAY_7.csv,8,472
NB_MAY_7.csv,9,399
NB_MAY_7.csv,10,366
NB_MAY_7.csv,11,455
NB_MAY_7.csv,12,447
NB_MAY_7.csv,13,392
NB_MAY_7.csv,14,467
NB_MAY_7.csv,15,442
NB_MAY_7.csv,16,558
NB_MAY_7.csv,17,506
NB_MAY_7.csv,18,411
NB_MAY_7.csv,19,311
NB_MAY_7.csv,20,233
NB_MAY_7.csv,21,132
NB_MAY_7.csv,22,90
NB_MAY_8.csv,0,30
NB_MAY_8.csv,1,16
NB_MAY_8.csv,2,13
NB_MAY_8.csv,3,38
NB_MAY_8.csv,4,38
NB_MAY_8.csv,5,105
NB_MAY_8.csv,6,238
NB_MAY_8.csv,7,501
NB_MAY_8.csv,8,429
NB_MAY_8.csv,9,441
NB_MAY_8.csv,10,408
NB_MAY_8.csv,11,473
NB_MAY_8.csv,12,506
NB_MAY_8.csv,13,523
NB_MAY_8.csv,14,469
NB_MAY_8.csv,15,443
NB_MAY_8.csv,16,495
NB_MAY_8.csv,17,530
NB_MAY_8.csv,18,440
NB_MAY_8.csv,19,337
NB_MAY_8.csv,20,272
NB_MAY_8.csv,21,175
NB_MAY_8.csv,22,101
NB_MAY_11.csv,0,26
NB_MAY_11.csv,1,13
NB_MAY_11.csv,2,12
NB_MAY_11.csv,3,40
NB_MAY_11.csv,4,47
NB_MAY_11.csv,5,97
NB_MAY_11.csv,6,252
NB_MAY_11.csv,7,582
NB_MAY_11.csv,8,508
NB_MAY_11.csv,9,395
NB_MAY_11.csv,10,374
NB_MAY_11.csv,11,433
NB_MAY_11.csv,12,428
NB_MAY_11.csv,13,428
NB_MAY_11.csv,14,463
NB_MAY_11.csv,15,460
NB_MAY_11.csv,16,478
NB_MAY_11.csv,17,492
NB_MAY_11.csv,18,348
NB_MAY_11.csv,19,294
NB_MAY_11.csv,20,242
NB_MAY_11.csv,21,135
NB_MAY_11.csv,22,64
NB_MAY_12.csv,0,25
NB_MAY_12.csv,1,14
NB_MAY_12.csv,2,14
NB_MAY_12.csv,3,37
NB_MAY_12.csv,4,49
NB_MAY_12.csv,5,99
NB_MAY_12.csv,6,304
NB_MAY_12.csv,7,830
NB_MAY_12.csv,8,518
NB_MAY_12.csv,9,442
NB_MAY_12.csv,10,371
NB_MAY_12.csv,11,432
NB_MAY_12.csv,12,421
NB_MAY_12.csv,13,401
NB_MAY_12.csv,14,416
NB_MAY_12.csv,15,394
NB_MAY_12.csv,16,499
NB_MAY_12.csv,17,508
NB_MAY_12.csv,18,369
NB_MAY_12.csv,19,315
NB_MAY_12.csv,20,235
NB_MAY_12.csv,21,131
NB_MAY_12.csv,22,72
NB_MAY_13.csv,0,17
NB_MAY_13.csv,1,12
NB_MAY_13.csv,2,14
NB_MAY_13.csv,3,44
NB_MAY_13.csv,4,41
