File,Hour,NBT
NB_June_1.csv,0,28
NB_June_1.csv,1,12
NB_June_1.csv,2,10
NB_June_1.csv,3,52
NB_June_1.csv,4,44
NB_June_1.csv,5,104
NB_June_1.csv,6,274
NB_June_1.csv,7,705
NB_June_1.csv,8,570
NB_June_1.csv,9,413
NB_June_1.csv,10,408
NB_June_1.csv,11,444
NB_June_1.csv,12,432
NB_June_1.csv,13,447
NB_June_1.csv,14,455
NB_June_1.csv,15,426
NB_June_1.csv,16,502
NB_June_1.csv,17,508
NB_June_1.csv,18,388
NB_June_1.csv,19,350
NB_June_1.csv,20,228
NB_June_1.csv,21,170
NB_June_1.csv,22,79
NB_June_2.csv,0,26
NB_June_2.csv,1,15
NB_June_2.csv,2,14
NB_June_2.csv,3,46
NB_June_2.csv,4,37
NB_June_2.csv,5,103
NB_June_2.csv,6,271
NB_June_2.csv,7,847
NB_June_2.csv,8,711
NB_June_2.csv,9,477
NB_June_2.csv,10,397
NB_June_2.csv,11,446
NB_June_2.csv,12,459
NB_June_2.csv,13,420
NB_June_2.csv,14,425
NB_June_2.csv,15,448
NB_June_2.csv,16,569
NB_June_2.csv,17,514
NB_June_2.csv,18,439
NB_June_2.csv,19,323
NB_June_2.csv,20,281
NB_June_2.csv,21,174
NB_June_2.csv,22,97
NB_June_3.csv,0,23
NB_June_3.csv,1,19
NB_June_3.csv,2,11
NB_June_3.csv,3,54
NB_June_3.csv,4,37
NB_June_3.csv,5,111
NB_June_3.csv,6,299
NB_June_3.csv,7,808
NB_June_3.csv,8,676
NB_June_3.csv,9,450
NB_June_3.csv,10,434
NB_June_3.csv,11,477
NB_June_3.csv,12,476
NB_June_3.csv,13,427
NB_June_3.csv,14,445
NB_June_3.csv,15,429
NB_June_3.csv,16,511
NB_June_3.csv,17,526
NB_June_3.csv,18,392
NB_June_3.csv,19,360
NB_June_3.csv,20,235
NB_June_3.csv,21,187
NB_June_3.csv,22,90
NB_June_4.csv,0,21
NB_June_4.csv,1,16
NB_June_4.csv,2,14
NB_June_4.csv,3,55
NB_June_4.csv,4,51
NB_June_4.csv,5,103
NB_June_4.csv,6,296
NB_June_4.csv,7,732
NB_June_4.csv,8,570
NB_June_4.csv,9,409
NB_June_4.csv,10,420
NB_June_4.csv,11,493
NB_June_4.csv,12,494
NB_June_4.csv,13,465
NB_June_4.csv,14,459
NB_June_4.csv,15,461
NB_June_4.csv,16,544
NB_June_4.csv,17,517
NB_June_4.csv,18,405
NB_June_4.csv,19,313
NB_June_4.csv,20,277
NB_June_4.csv,21,124
NB_June_4.csv,22,107
NB_June_5.csv,0,30
NB_June_5.csv,1,24
NB_June_5.csv,2,12
NB_June_5.csv,3,50
NB_June_5.csv,4,40
NB_June_5.csv,5,90
NB_June_5.csv,6,241
NB_June_5.csv,7,517
NB_June_5.csv,8,474
NB_June_5.csv,9,396
NB_June_5.csv,10,468
NB_June_5.csv,11,552
NB_June_5.csv,12,528
NB_June_5.csv,13,533
NB_June_5.csv,14,523
NB_June_5.csv,15,469
NB_June_5.csv,16,545
NB_June_5.csv,17,579
NB_June_5.csv,18,453
NB_June_5.csv,19,354
NB_June_5.csv,20,327
NB_June_5.csv,21,185
NB_June_5.csv,22,122
