File,TimeStamp,NBT,NBL
NB_MAY_4.csv,2026/05/04 00:00:00.000,4,0
NB_MAY_4.csv,2026/05/04 00:15:00.000,4,1
NB_MAY_4.csv,2026/05/04 00:30:00.000,8,0
NB_MAY_4.csv,2026/05/04 00:45:00.000,5,1
NB_MAY_4.csv,2026/05/04 01:00:00.000,5,0
NB_MAY_4.csv,2026/05/04 01:15:00.000,2,0
NB_MAY_4.csv,2026/05/04 01:30:00.000,1,1
NB_MAY_4.csv,2026/05/04 01:45:00.000,1,0
NB_MAY_4.csv,2026/05/04 02:00:00.000,3,0
NB_MAY_4.csv,2026/05/04 02:15:00.000,2,1
NB_MAY_4.csv,2026/05/04 02:30:00.000,2,1
NB_MAY_4.csv,2026/05/04 02:45:00.000,5,0
NB_MAY_4.csv,2026/05/04 03:00:00.000,6,2
NB_MAY_4.csv,2026/05/04 03:15:00.000,18,2
NB_MAY_4.csv,2026/05/04 03:30:00.000,8,0
NB_MAY_4.csv,2026/05/04 03:45:00.000,8,0
NB_MAY_4.csv,2026/05/04 04:00:00.000,7,0
NB_MAY_4.csv,2026/05/04 04:15:00.000,15,0
NB_MAY_4.csv,2026/05/04 04:30:00.000,8,0
NB_MAY_4.csv,2026/05/04 04:45:00.000,15,0
NB_MAY_4.csv,2026/05/04 05:00:00.000,16,0
NB_MAY_4.csv,2026/05/04 05:15:00.000,15,0
NB_MAY_4.csv,2026/05/04 05:30:00.000,28,1
NB_MAY_4.csv,2026/05/04 05:45:00.000,37,1
NB_MAY_4.csv,2026/05/04 06:00:00.000,25,0
NB_MAY_4.csv,2026/05/04 06:15:00.000,61,1
NB_MAY_4.csv,2026/05/04 06:30:00.000,71,3
NB_MAY_4.csv,2026/05/04 06:45:00.000,100,3
NB_MAY_4.csv,2026/05/04 07:00:00.000,152,4
NB_MAY_4.csv,2026/05/04 07:15:00.000,176,8
NB_MAY_4.csv,2026/05/04 07:30:00.000,199,16
NB_MAY_4.csv,2026/05/04 07:45:00.000,193,24
NB_MAY_4.csv,2026/05/04 08:00:00.000,125,18
NB_MAY_4.csv,2026/05/04 08:15:00.000,125,27
