File,Hour,SBL
SB_June_1.csv,0,0
SB_June_1.csv,1,0
SB_June_1.csv,2,0
SB_June_1.csv,3,0
SB_June_1.csv,4,0
SB_June_1.csv,5,0
SB_June_1.csv,6,4
SB_June_1.csv,7,17
SB_June_1.csv,8,13
SB_June_1.csv,9,13
SB_June_1.csv,10,17
SB_June_1.csv,11,18
SB_June_1.csv,12,22
SB_June_1.csv,13,29
SB_June_1.csv,14,23
SB_June_1.csv,15,21
SB_June_1.csv,16,22
SB_June_1.csv,17,31
SB_June_1.csv,18,30
SB_June_1.csv,19,17
SB_June_1.csv,20,18
SB_June_1.csv,21,16
SB_June_1.csv,22,8
SB_June_2.csv,0,2
SB_June_2.csv,1,0
SB_June_2.csv,2,0
SB_June_2.csv,3,0
SB_June_2.csv,4,0
SB_June_2.csv,5,2
SB_June_2.csv,6,5
SB_June_2.csv,7,14
SB_June_2.csv,8,17
SB_June_2.csv,9,15
SB_June_2.csv,10,18
SB_June_2.csv,11,19
SB_June_2.csv,12,14
SB_June_2.csv,13,13
SB_June_2.csv,14,36
SB_June_2.csv,15,24
SB_June_2.csv,16,19
SB_June_2.csv,17,31
SB_June_2.csv,18,33
SB_June_2.csv,19,21
SB_June_2.csv,20,18
SB_June_2.csv,21,19
SB_June_2.csv,22,9
SB_June_3.csv,0,1
SB_June_3.csv,1,0
SB_June_3.csv,2,0
SB_June_3.csv,3,0
SB_June_3.csv,4,0
SB_June_3.csv,5,1
SB_June_3.csv,6,6
SB_June_3.csv,7,10
SB_June_3.csv,8,22
SB_June_3.csv,9,14
SB_June_3.csv,10,17
SB_June_3.csv,11,23
SB_June_3.csv,12,23
SB_June_3.csv,13,25
SB_June_3.csv,14,24
SB_June_3.csv,15,20
SB_June_3.csv,16,37
SB_June_3.csv,17,30
SB_June_3.csv,18,24
SB_June_3.csv,19,17
SB_June_3.csv,20,21
SB_June_3.csv,21,14
SB_June_3.csv,22,4
SB_June_4.csv,0,0
SB_June_4.csv,1,2
SB_June_4.csv,2,2
SB_June_4.csv,3,0
SB_June_4.csv,4,0
SB_June_4.csv,5,0
SB_June_4.csv,6,2
SB_June_4.csv,7,7
SB_June_4.csv,8,12
SB_June_4.csv,9,12
SB_June_4.csv,10,14
SB_June_4.csv,11,22
SB_June_4.csv,12,11
SB_June_4.csv,13,11
SB_June_4.csv,14,16
SB_June_4.csv,15,30
SB_June_4.csv,16,34
SB_June_4.csv,17,20
SB_June_4.csv,18,24
SB_June_4.csv,19,17
SB_June_4.csv,20,24
SB_June_4.csv,21,13
SB_June_4.csv,22,7
SB_June_5.csv,0,2
SB_June_5.csv,1,0
SB_June_5.csv,2,0
SB_June_5.csv,3,1
SB_June_5.csv,4,0
SB_June_5.csv,5,0
SB_June_5.csv,6,3
SB_June_5.csv,7,15
SB_June_5.csv,8,12
SB_June_5.csv,9,16
SB_June_5.csv,10,11
SB_June_5.csv,11,22
SB_June_5.csv,12,18
SB_June_5.csv,13,33
SB_June_5.csv,14,18
SB_June_5.csv,15,26
SB_June_5.csv,16,30
SB_June_5.csv,17,23
SB_June_5.csv,18,30
SB_June_5.csv,19,16
SB_June_5.csv,20,11
SB_June_5.csv,21,24
SB_June_5.csv,22,9
SB_June_8.csv,0,1
SB_June_8.csv,1,0
SB_June_8.csv,2,0
SB_June_8.csv,3,0
SB_June_8.csv,4,1
SB_June_8.csv,5,0
SB_June_8.csv,6,2
SB_June_8.csv,7,12
SB_June_8.csv,8,15
SB_June_8.csv,9,12
SB_June_8.csv,10,16
SB_June_8.csv,11,12
SB_June_8.csv,12,18
SB_June_8.csv,13,22
SB_June_8.csv,14,24
SB_June_8.csv,15,25
SB_June_8.csv,16,30
SB_June_8.csv,17,24
SB_June_8.csv,18,19
SB_June_8.csv,19,18
SB_June_8.csv,20,22
SB_June_8.csv,21,10
SB_June_8.csv,22,5
SB_June_9.csv,0,1
SB_June_9.csv,1,1
SB_June_9.csv,2,2
SB_June_9.csv,3,0
SB_June_9.csv,4,2
SB_June_9.csv,5,1
SB_June_9.csv,6,3
SB_June_9.csv,7,15
SB_June_9.csv,8,16
SB_June_9.csv,9,15
SB_June_9.csv,10,19
SB_June_9.csv,11,15
SB_June_9.csv,12,30
SB_June_9.csv,13,17
SB_June_9.csv,14,26
SB_June_9.csv,15,28
SB_June_9.csv,16,25
SB_June_9.csv,17,41
SB_June_9.csv,18,20
SB_June_9.csv,19,25
SB_June_9.csv,20,14
SB_June_9.csv,21,16
SB_June_9.csv,22,8
SB_June_10.csv,0,2
SB_June_10.csv,1,2
SB_June_10.csv,2,0
SB_June_10.csv,3,0
SB_June_10.csv,4,0
SB_June_10.csv,5,1
SB_June_10.csv,6,2
SB_June_10.csv,7,7
SB_June_10.csv,8,10
SB_June_10.csv,9,27
SB_June_10.csv,10,16
SB_June_10.csv,11,17
SB_June_10.csv,12,15
SB_June_10.csv,13,22
SB_June_10.csv,14,26
SB_June_10.csv,15,30
SB_June_10.csv,16,21
SB_June_10.csv,17,28
SB_June_10.csv,18,18
SB_June_10.csv,19,25
SB_June_10.csv,20,14
SB_June_10.csv,21,14
SB_June_10.csv,22,8
SB_June_11.csv,0,6
SB_June_11.csv,1,0
