File,Hour,SBT
SB_June_1.csv,0,40
SB_June_1.csv,1,17
SB_June_1.csv,2,23
SB_June_1.csv,3,15
SB_June_1.csv,4,29
SB_June_1.csv,5,69
SB_June_1.csv,6,168
SB_June_1.csv,7,303
SB_June_1.csv,8,297
SB_June_1.csv,9,269
SB_June_1.csv,10,331
SB_June_1.csv,11,414
SB_June_1.csv,12,521
SB_June_1.csv,13,514
SB_June_1.csv,14,598
SB_June_1.csv,15,732
SB_June_1.csv,16,1292
SB_June_1.csv,17,1284
SB_June_1.csv,18,681
SB_June_1.csv,19,474
SB_June_1.csv,20,351
SB_June_1.csv,21,246
SB_June_1.csv,22,135
SB_June_2.csv,0,32
SB_June_2.csv,1,23
SB_June_2.csv,2,12
SB_June_2.csv,3,17
SB_June_2.csv,4,25
SB_June_2.csv,5,66
SB_June_2.csv,6,174
SB_June_2.csv,7,366
SB_June_2.csv,8,360
SB_June_2.csv,9,268
SB_June_2.csv,10,351
SB_June_2.csv,11,383
SB_June_2.csv,12,522
SB_June_2.csv,13,492
SB_June_2.csv,14,607
SB_June_2.csv,15,839
SB_June_2.csv,16,1387
SB_June_2.csv,17,1364
SB_June_2.csv,18,849
SB_June_2.csv,19,442
SB_June_2.csv,20,395
SB_June_2.csv,21,278
SB_June_2.csv,22,139
SB_June_3.csv,0,27
SB_June_3.csv,1,20
SB_June_3.csv,2,13
SB_June_3.csv,3,18
SB_June_3.csv,4,24
SB_June_3.csv,5,82
SB_June_3.csv,6,179
SB_June_3.csv,7,350
SB_June_3.csv,8,325
SB_June_3.csv,9,343
SB_June_3.csv,10,330
SB_June_3.csv,11,418
SB_June_3.csv,12,512
SB_June_3.csv,13,529
SB_June_3.csv,14,601
SB_June_3.csv,15,753
SB_June_3.csv,16,1413
SB_June_3.csv,17,1361
SB_June_3.csv,18,729
SB_June_3.csv,19,483
SB_June_3.csv,20,399
SB_June_3.csv,21,250
SB_June_3.csv,22,159
SB_June_4.csv,0,33
SB_June_4.csv,1,16
SB_June_4.csv,2,17
SB_June_4.csv,3,19
SB_June_4.csv,4,20
SB_June_4.csv,5,85
SB_June_4.csv,6,155
SB_June_4.csv,7,334
SB_June_4.csv,8,286
SB_June_4.csv,9,294
SB_June_4.csv,10,295
SB_June_4.csv,11,409
SB_June_4.csv,12,540
SB_June_4.csv,13,549
SB_June_4.csv,14,609
SB_June_4.csv,15,885
SB_June_4.csv,16,1292
SB_June_4.csv,17,1293
SB_June_4.csv,18,648
SB_June_4.csv,19,500
SB_June_4.csv,20,343
SB_June_4.csv,21,261
SB_June_4.csv,22,181
SB_June_5.csv,0,38
SB_June_5.csv,1,23
SB_June_5.csv,2,17
SB_June_5.csv,3,16
SB_June_5.csv,4,29
SB_June_5.csv,5,69
SB_June_5.csv,6,130
SB_June_5.csv,7,298
SB_June_5.csv,8,259
SB_June_5.csv,9,300
SB_June_5.csv,10,359
SB_June_5.csv,11,468
SB_June_5.csv,12,590
SB_June_5.csv,13,639
SB_June_5.csv,14,748
SB_June_5.csv,15,815
SB_June_5.csv,16,953
SB_June_5.csv,17,869
SB_June_5.csv,18,614
SB_June_5.csv,19,498
SB_June_5.csv,20,425
SB_June_5.csv,21,337
SB_June_5.csv,22,196
SB_June_8.csv,0,34
SB_June_8.csv,1,30
SB_June_8.csv,2,13
SB_June_8.csv,3,14
SB_June_8.csv,4,29
SB_June_8.csv,5,70
SB_June_8.csv,6,166
SB_June_8.csv,7,329
SB_June_8.csv,8,304
SB_June_8.csv,9,265
SB_June_8.csv,10,322
SB_June_8.csv,11,447
SB_June_8.csv,12,532
SB_June_8.csv,13,542
SB_June_8.csv,14,628
SB_June_8.csv,15,752
SB_June_8.csv,16,1152
SB_June_8.csv,17,1175
SB_June_8.csv,18,625
SB_June_8.csv,19,473
SB_June_8.csv,20,409
SB_June_8.csv,21,223
SB_June_8.csv,22,153
SB_June_9.csv,0,38
SB_June_9.csv,1,26
SB_June_9.csv,2,22
SB_June_9.csv,3,11
SB_June_9.csv,4,30
SB_June_9.csv,5,74
SB_June_9.csv,6,161
SB_June_9.csv,7,376
SB_June_9.csv,8,346
SB_June_9.csv,9,299
SB_June_9.csv,10,353
SB_June_9.csv,11,457
SB_June_9.csv,12,591
SB_June_9.csv,13,554
SB_June_9.csv,14,644
SB_June_9.csv,15,832
SB_June_9.csv,16,1508
SB_June_9.csv,17,1351
SB_June_9.csv,18,735
SB_June_9.csv,19,526
SB_June_9.csv,20,380
SB_June_9.csv,21,290
SB_June_9.csv,22,176
SB_June_10.csv,0,22
SB_June_10.csv,1,24
SB_June_10.csv,2,25
SB_June_10.csv,3,19
SB_June_10.csv,4,28
SB_June_10.csv,5,71
SB_June_10.csv,6,166
SB_June_10.csv,7,338
SB_June_10.csv,8,332
SB_June_10.csv,9,268
SB_June_10.csv,10,365
SB_June_10.csv,11,403
SB_June_10.csv,12,531
SB_June_10.csv,13,531
SB_June_10.csv,14,637
SB_June_10.csv,15,769
SB_June_10.csv,16,1310
SB_June_10.csv,17,1340
SB_June_10.csv,18,707
SB_June_10.csv,19,495
SB_June_10.csv,20,375
SB_June_10.csv,21,279
SB_June_10.csv,22,139
SB_June_11.csv,0,26
SB_June_11.csv,1,22
SB_June_11.csv,2,17
SB_June_11.csv,3,18
SB_June_11.csv,4,23
SB_June_11.csv,5,63
SB_June_11.csv,6,154
SB_June_11.csv,7,324
SB_June_11.csv,8,314
SB_June_11.csv,9,273
SB_June_11.csv,10,338
SB_June_11.csv,11,458
SB_June_11.csv,12,572
SB_June_11.csv,13,568
SB_June_11.csv,14,647
SB_June_11.csv,15,799
SB_June_11.csv,16,1254
SB_June_11.csv,17,1275
SB_June_11.csv,18,682
SB_June_11.csv,19,474
SB_June_11.csv,20,384
SB_June_11.csv,21,294
SB_June_11.csv,22,147
SB_June_12.csv,0,56
SB_June_12.csv,1,24
SB_June_12.csv,2,21
SB_June_12.csv,3,13
SB_June_12.csv,4,32
SB_June_12.csv,5,73
SB_June_12.csv,6,150
SB_June_12.csv,7,263
SB_June_12.csv,8,275
SB_June_12.csv,9,264
SB_June_12.csv,10,386
SB_June_12.csv,11,478
SB_June_12.csv,12,575
SB_June_12.csv,13,684
SB_June_12.csv,14,763
SB_June_12.csv,15,857
SB_June_12.csv,16,991
SB_June_12.csv,17,818
SB_June_12.csv,18,616
SB_June_12.csv,19,441
SB_June_12.csv,20,420
SB_June_12.csv,21,259
SB_June_12.csv,22,183
TOTAL,,90675
