Hour,June-1,June-2,June-3,June-4,June-5,June-8,June-9,June-10,June-11,June-12
00:00,1,2,3,1,0,2,2,1,3,0
01:00,2,0,0,2,0,1,0,1,0,1
02:00,0,1,1,1,0,2,1,2,1,1
03:00,3,3,1,0,3,2,0,1,0,1
04:00,1,0,1,0,1,0,1,2,2,0
05:00,2,4,2,1,2,3,3,3,2,2
06:00,4,8,6,6,4,7,5,6,12,1
07:00,22,40,36,27,22,32,30,29,20,17
08:00,44,67,62,55,33,34,43,35,44,25
09:00,10,17,25,20,14,11,21,17,16,13
10:00,14,16,18,14,23,7,9,15,17,13
11:00,16,20,23,12,7,14,16,21,13,17
12:00,19,15,18,35,19,21,17,17,15,19
13:00,17,9,16,14,18,17,8,18,14,15
14:00,16,23,23,20,16,12,17,19,14,18
15:00,17,17,19,22,13,13,12,15,16,24
16:00,16,19,12,8,17,20,20,18,8,19
17:00,15,26,25,18,16,12,14,21,14,11
18:00,7,12,16,17,9,13,7,11,13,8
19:00,11,8,8,10,11,12,7,11,5,12
20:00,10,10,17,10,20,9,11,10,8,23
21:00,8,7,12,7,13,11,8,8,9,14
22:00,4,5,2,14,7,5,5,4,5,8
Total,259,329,346,314,268,260,257,285,251,262
