Hour,June-1,June-2,June-3,June-4,June-5,June-8,June-9,June-10,June-11,June-12
00:00,28,26,23,21,30,25,27,35,24,26
01:00,12,15,19,16,24,13,24,24,14,18
02:00,10,14,11,14,12,12,18,15,20,12
03:00,52,46,54,55,50,48,35,59,36,44
04:00,44,37,37,51,40,41,40,47,46,34
05:00,104,103,111,103,90,101,101,115,105,102
06:00,274,271,299,296,241,290,291,268,297,250
07:00,705,847,808,732,517,788,852,767,613,390
08:00,570,711,676,570,474,632,610,786,542,357
09:00,413,477,450,409,396,389,418,456,421,395
10:00,408,397,434,420,468,379,387,423,417,413
11:00,444,446,477,493,552,454,488,508,467,532
12:00,432,459,476,494,528,448,473,469,506,529
13:00,447,420,427,465,533,475,466,434,495,519
14:00,455,425,445,459,523,461,435,435,497,520
15:00,426,448,429,461,469,451,451,453,444,491
16:00,502,569,511,544,545,480,544,486,559,543
17:00,508,514,526,517,579,506,538,557,521,522
18:00,388,439,392,405,453,403,439,418,406,415
19:00,350,323,360,313,354,377,303,336,303,382
20:00,228,281,235,277,327,245,309,258,261,284
21:00,170,174,187,124,185,176,217,181,170,174
22:00,79,97,90,107,122,70,87,92,94,121
Total,7049,7539,7477,7346,7512,7264,7553,7622,7258,7073
