Hour,June-1,June-2,June-3,June-4,June-5,June-8,June-9,June-10,June-11,June-12
00:00,0,0,0,0,1,1,0,0,0,0
01:00,0,0,0,0,0,0,0,1,0,0
02:00,0,0,0,2,0,0,0,0,0,0
03:00,1,0,0,1,1,1,0,1,1,0
04:00,0,0,0,0,0,0,0,0,1,0
05:00,2,1,2,6,3,1,2,2,2,0
06:00,11,9,10,8,14,12,7,10,7,9
07:00,32,27,30,33,34,12,25,18,6,13
08:00,40,34,76,55,15,9,18,38,10,6
09:00,16,18,36,22,12,11,15,19,6,9
10:00,21,23,34,27,12,9,6,10,6,4
11:00,16,16,19,10,9,11,10,16,7,11
12:00,27,18,26,17,20,9,11,10,8,8
13:00,17,21,14,15,15,8,15,15,6,10
14:00,26,28,21,27,10,15,9,16,16,14
15:00,17,22,35,23,6,21,16,19,10,9
16:00,6,100,21,13,8,10,7,11,9,5
17:00,6,61,9,8,9,3,9,12,16,5
18:00,5,11,5,6,3,3,4,5,15,5
19:00,5,6,3,6,1,7,5,4,1,5
20:00,4,2,4,3,2,2,5,3,7,3
21:00,1,1,1,3,8,1,2,5,5,2
22:00,3,3,0,3,3,3,2,2,0,1
Total,256,401,346,288,186,149,168,217,139,119
