Hour,June-1,June-2,June-3,June-4,June-5,June-8,June-9,June-10,June-11,June-12
00:00,40,32,27,33,38,34,38,22,26,56
01:00,17,23,20,16,23,30,26,24,22,24
02:00,23,12,13,17,17,13,22,25,17,21
03:00,15,17,18,19,16,14,11,19,18,13
04:00,29,25,24,20,29,29,30,28,23,32
05:00,69,66,82,85,69,70,74,71,63,73
06:00,168,174,179,155,130,166,161,166,154,150
07:00,303,366,350,334,298,329,376,338,324,263
08:00,297,360,325,286,259,304,346,332,314,275
09:00,269,268,343,294,300,265,299,268,273,264
10:00,331,351,330,295,359,322,353,365,338,386
11:00,414,383,418,409,468,447,457,403,458,478
12:00,521,522,512,540,590,532,591,531,572,575
13:00,514,492,529,549,639,542,554,531,568,684
14:00,598,607,601,609,748,628,644,637,647,763
15:00,732,839,753,885,815,752,832,769,799,857
16:00,1292,1387,1413,1292,953,1152,1508,1310,1254,991
17:00,1284,1364,1361,1293,869,1175,1351,1340,1275,818
18:00,681,849,729,648,614,625,735,707,682,616
19:00,474,442,483,500,498,473,526,495,474,441
20:00,351,395,399,343,425,409,380,375,384,420
21:00,246,278,250,261,337,223,290,279,294,259
22:00,135,139,159,181,196,153,176,139,147,183
Total,8803,9391,9318,9064,8690,8687,9780,9174,9126,8642
